Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4, C5, C7",1206,7,C_Small,
C6,1206,1,1.5nC,
C8,1206,1,0.22uC,
D1,LED_D5.0mm,1,LED,
"J2, J4",PRT16766,2,PRT-16766,
J3,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
LED1,LED_D5.0mm,1,PT334-6C,
Q4,SOT-23_Handsoldering,1,NMOS,
R10,1206,1,22kR,
"R11, R12",1206,2,220kR,
R3,1206,1,250R,
R8,1206,1,1MR,
R9,1206,1,100kR,
"S1, S2, S3",FSM4JH,3,FSM2JH,
U1,ESPRESSIF_ESP32-DEVKITC-32UE,1,ESP32-DEVKITC-32UE,
U2,MODULE_DM-OLED096-636,1,DM-OLED096-636,
U3,SOIC127P600X175-8N,1,MCP6002-I_SN,
